Data Consegna,Cluster,Zona Consegna,Veicolo,Numero Clienti,Distanza Stimata (km),Percorso Ottimo,Tempo Totale Stimato (min),Tempo Guida Stimato (min)
2025-07-04,1_0,Zona B1,V2025-07-04_C1_0_N1,6,33.65,"[586733, 404015, 587849, 15046, 588691, 584243]",110,50
2025-07-06,0_3,Zona A4,V2025-07-06_C0_3_N1,8,127.33,"[557940, 557106, 557574, 557923, 550920, 555528, 555390, 555421]",271,191
2025-07-06,0_3,Zona A4,V2025-07-06_C0_3_N2,4,89.5,"[576459, 576457, 583169, 581287]",174,134
2025-07-06,1_0,Zona B1,V2025-07-06_C1_0_N1,5,40.59,"[10847, 404426, 576715, 400486, 557954]",111,61
2025-07-06,2,Zona C,V2025-07-06_C2_N1,4,106.1,"[578628, 402797, 585937, 586311]",199,159
2025-07-07,0_1,Zona A2,V2025-07-07_C0_1_N1,7,124.64,"[402766, 580938, 12875, 404196, 587642, 406428, 404601]",257,187
2025-07-07,1_0,Zona B1,V2025-07-07_C1_0_N1,5,29.0,"[584853, 585473, 580462, 587180, 585547]",94,44
2025-07-08,2,Zona C,V2025-07-08_C2_N1,4,101.78,"[587999, 587260, 400911, 403453]",193,153
2025-07-09,0_1,Zona A2,V2025-07-09_C0_1_N1,5,104.93,"[585979, 17728, 583047, 401040, 604715]",207,157
2025-07-09,2,Zona C,V2025-07-09_C2_N1,4,114.56,"[401612, 582058, 586205, 582104]",212,172
2025-07-10,1_0,Zona B1,V2025-07-10_C1_0_N1,9,63.33,"[582766, 588700, 587398, 401053, 580791, 587403, 401200, 587325, 577726]",185,95
2025-07-10,0_0,Zona A1,V2025-07-10_C0_0_N1,9,141.47,"[558386, 557744, 557277, 587016, 587250, 580512, 588362, 578480, 557802]",302,212
2025-07-13,1_0,Zona B1,V2025-07-13_C1_0_N1,5,49.87,"[404550, 17353, 580350, 404810, 557973]",125,75
2025-07-14,0_0,Zona A1,V2025-07-14_C0_0_N1,7,108.86,"[557981, 557410, 557411, 557531, 605299, 557247, 555436]",233,163
2025-07-14,1_0,Zona B1,V2025-07-14_C1_0_N1,5,26.88,"[17466, 401772, 585343, 586496, 403252]",90,40
2025-07-16,0_1,Zona A2,V2025-07-16_C0_1_N1,6,131.94,"[405964, 402377, 405917, 402354, 576691, 16201]",258,198
2025-07-16,1_0,Zona B1,V2025-07-16_C1_0_N1,5,45.72,"[588207, 588656, 404191, 588691, 557578]",119,69
2025-07-16,2,Zona C,V2025-07-16_C2_N1,8,124.74,"[403160, 403069, 401309, 585158, 584181, 401342, 400911, 405261]",267,187
2025-07-16,2,Zona C,V2025-07-16_C2_N2,3,118.96,"[582678, 585181, 405988]",208,178
2025-07-17,1_0,Zona B1,V2025-07-17_C1_0_N1,5,24.78,"[587730, 578121, 405596, 586898, 584363]",87,37
2025-07-18,1_0,Zona B1,V2025-07-18_C1_0_N1,3,41.35,"[582443, 587941, 558205]",92,62
2025-07-19,1_0,Zona B1,V2025-07-19_C1_0_N1,4,20.23,"[582775, 13394, 406287, 585840]",70,30
2025-07-19,0_1,Zona A2,V2025-07-19_C0_1_N1,6,124.72,"[583539, 582563, 406246, 402002, 582767, 585934]",247,187
2025-07-20,1_0,Zona B1,V2025-07-20_C1_0_N1,7,22.0,"[15262, 11284, 588835, 587775, 405546, 14342, 404166]",103,33
2025-07-20,0_1,Zona A2,V2025-07-20_C0_1_N1,6,138.67,"[588303, 401059, 580938, 584716, 588380, 401714]",268,208
2025-07-20,0_3,Zona A4,V2025-07-20_C0_3_N1,8,97.23,"[557017, 581308, 604226, 555747, 557554, 557173, 555528, 557673]",226,146
2025-07-20,0_3,Zona A4,V2025-07-20_C0_3_N2,6,108.1,"[582638, 587418, 585040, 586603, 588249, 584978]",222,162
2025-07-23,1_0,Zona B1,V2025-07-23_C1_0_N1,5,88.43,"[10552, 400474, 587971, 586776, 557679]",183,133
2025-07-24,1_0,Zona B1,V2025-07-24_C1_0_N1,4,27.01,"[406440, 401715, 403511, 403794]",81,41
2025-07-25,0_1,Zona A2,V2025-07-25_C0_1_N1,5,105.86,"[405940, 16331, 577372, 580233, 577222]",209,159
2025-07-25,1_0,Zona B1,V2025-07-25_C1_0_N1,4,26.05,"[583213, 585375, 580791, 578626]",79,39
2025-07-26,0_0,Zona A1,V2025-07-26_C0_0_N1,6,112.84,"[557844, 584670, 577070, 557243, 557571, 558425]",229,169
2025-07-27,0_0,Zona A1,V2025-07-27_C0_0_N1,4,108.33,"[587017, 558246, 557276, 557368]",202,162
2025-07-27,1_0,Zona B1,V2025-07-27_C1_0_N1,5,32.7,"[403042, 576957, 578388, 587019, 588691]",99,49
2025-07-27,1_1,Zona B2,V2025-07-27_C1_1_N1,8,77.17,"[404153, 404927, 404272, 584446, 401105, 403529, 580349, 553714]",196,116
2025-07-27,1_1,Zona B2,V2025-07-27_C1_1_N2,9,169.78,"[405874, 582653, 584163, 588597, 588104, 585391, 551552, 587267, 588648]",345,255
2025-07-28,1_0,Zona B1,V2025-07-28_C1_0_N1,6,39.59,"[584853, 403234, 12693, 584504, 588565, 585377]",119,59
2025-07-28,2,Zona C,V2025-07-28_C2_N1,7,140.06,"[11395, 582058, 405636, 581987, 400911, 403786, 401964]",280,210
2025-07-28,2,Zona C,V2025-07-28_C2_N2,6,101.95,"[587501, 584770, 577319, 582776, 583996, 603922]",213,153
2025-07-28,0_0,Zona A1,V2025-07-28_C0_0_N1,7,107.18,"[558354, 557366, 557597, 557531, 585950, 584147, 557914]",231,161
2025-07-29,0_1,Zona A2,V2025-07-29_C0_1_N1,4,129.65,"[401370, 13341, 402106, 587909]",234,194
2025-07-30,0_0,Zona A1,V2025-07-30_C0_0_N1,3,92.34,"[558175, 557181, 587369]",169,139
2025-07-30,1_0,Zona B1,V2025-07-30_C1_0_N1,3,20.62,"[584885, 577823, 578649]",61,31
2025-07-31,0_0,Zona A1,V2025-07-31_C0_0_N1,5,98.79,"[586937, 558401, 558295, 558076, 557061]",198,148
2025-07-31,1_0,Zona B1,V2025-07-31_C1_0_N1,5,33.05,"[403209, 584622, 405789, 587403, 587650]",100,50
2025-08-02,0_0,Zona A1,V2025-08-02_C0_0_N1,4,104.9,"[557440, 557411, 586580, 584687]",197,157
2025-08-03,1_0,Zona B1,V2025-08-03_C1_0_N1,9,85.69,"[405547, 14233, 400705, 584577, 585779, 406433, 604065, 401108, 402587]",219,129
2025-08-04,0_1,Zona A2,V2025-08-04_C0_1_N1,8,114.68,"[404869, 580938, 577314, 584593, 406140, 404543, 400393, 584169]",252,172
2025-08-04,1_0,Zona B1,V2025-08-04_C1_0_N1,3,37.33,"[403706, 16362, 586938]",86,56
2025-08-05,1_0,Zona B1,V2025-08-05_C1_0_N1,7,59.32,"[587134, 587676, 576486, 10604, 405630, 587035, 575771]",159,89
2025-08-06,1_1,Zona B2,V2025-08-06_C1_1_N1,5,92.91,"[588110, 401911, 578013, 405794, 583964]",189,139
2025-08-07,1_1,Zona B2,V2025-08-07_C1_1_N1,10,119.31,"[575953, 16377, 402508, 400384, 584086, 586917, 401092, 401236, 557503, 587267]",279,179
2025-08-07,0_0,Zona A1,V2025-08-07_C0_0_N1,8,107.07,"[588060, 587654, 557459, 557443, 557846, 557531, 554269, 553497]",241,161
2025-08-07,0_0,Zona A1,V2025-08-07_C0_0_N2,5,108.92,"[558101, 603616, 587873, 586591, 584840]",213,163
2025-08-07,1_0,Zona B1,V2025-08-07_C1_0_N1,5,40.29,"[13944, 405831, 401065, 588691, 401692]",110,60
2025-08-08,1_0,Zona B1,V2025-08-08_C1_0_N1,3,26.59,"[585984, 406249, 584886]",70,40
2025-08-09,1_0,Zona B1,V2025-08-09_C1_0_N1,7,54.72,"[577865, 405059, 405782, 580791, 577726, 575690, 575358]",152,82
2025-08-10,0_3,Zona A4,V2025-08-10_C0_3_N1,8,116.19,"[557940, 584373, 577781, 555528, 550920, 557227, 557327, 557797]",254,174
2025-08-10,0_3,Zona A4,V2025-08-10_C0_3_N2,5,89.14,"[585702, 558391, 585302, 583169, 558241]",184,134
2025-08-10,1_0,Zona B1,V2025-08-10_C1_0_N1,7,54.08,"[13570, 10515, 400672, 585083, 403445, 584786, 558127]",151,81
2025-08-11,1_3,Zona B4,V2025-08-11_C1_3_N1,8,83.33,"[581095, 405228, 576870, 582004, 588606, 586729, 405597, 404278]",205,125
2025-08-11,1_3,Zona B4,V2025-08-11_C1_3_N2,5,71.49,"[583346, 581912, 581985, 586610, 585194]",157,107
2025-08-13,0_1,Zona A2,V2025-08-13_C0_1_N1,6,120.42,"[14643, 587517, 577302, 578624, 405919, 587857]",241,181
2025-08-13,1_0,Zona B1,V2025-08-13_C1_0_N1,8,59.42,"[404862, 587868, 401772, 575734, 401698, 585717, 10552, 587941]",169,89
2025-08-16,1_0,Zona B1,V2025-08-16_C1_0_N1,9,67.67,"[14998, 400877, 582157, 17264, 583451, 580350, 586714, 405812, 557954]",192,102
2025-08-17,2,Zona C,V2025-08-17_C2_N1,8,125.99,"[405926, 576261, 403069, 405475, 604199, 585158, 405290, 400911]",269,189
2025-08-17,2,Zona C,V2025-08-17_C2_N2,3,88.46,"[585484, 586311, 582058]",163,133
2025-08-17,1_0,Zona B1,V2025-08-17_C1_0_N1,3,12.34,"[11706, 583167, 405596]",49,19
2025-08-18,0_1,Zona A2,V2025-08-18_C0_1_N1,5,109.92,"[401427, 580938, 406246, 580233, 575723]",215,165
2025-08-18,1_0,Zona B1,V2025-08-18_C1_0_N1,5,65.97,"[584853, 406271, 588691, 11824, 402750]",149,99
2025-08-19,0_1,Zona A2,V2025-08-19_C0_1_N1,5,102.94,"[405941, 402376, 402008, 400751, 405466]",204,154
2025-08-19,1_0,Zona B1,V2025-08-19_C1_0_N1,5,46.75,"[401061, 584353, 12740, 577856, 583740]",120,70
2025-08-19,2,Zona C,V2025-08-19_C2_N1,5,125.29,"[400318, 585181, 583444, 405736, 401964]",238,188
2025-08-20,0_0,Zona A1,V2025-08-20_C0_0_N1,9,106.1,"[557994, 576660, 558072, 557411, 557410, 557970, 557384, 580254, 557068]",249,159
2025-08-21,0_3,Zona A4,V2025-08-21_C0_3_N1,10,125.12,"[553783, 557288, 557190, 557574, 581308, 576512, 555747, 581287, 555390, 558274]",288,188
2025-08-21,0_1,Zona A2,V2025-08-21_C0_1_N1,7,135.99,"[403522, 577965, 588494, 403281, 587480, 402002, 582767]",274,204
2025-08-22,0_3,Zona A4,V2025-08-22_C0_3_N1,7,115.35,"[550777, 558137, 557047, 555528, 604226, 578360, 583333]",243,173
2025-08-23,1_0,Zona B1,V2025-08-23_C1_0_N1,6,24.6,"[400637, 12692, 585381, 584896, 588548, 587403]",97,37
2025-08-23,0_0,Zona A1,V2025-08-23_C0_0_N1,5,94.97,"[557985, 551241, 557444, 578385, 586674]",192,142
2025-08-23,1_3,Zona B4,V2025-08-23_C1_3_N1,6,60.92,"[404884, 583347, 588525, 581912, 577185, 581985]",151,91
2025-08-24,2,Zona C,V2025-08-24_C2_N1,8,131.42,"[583838, 16409, 581987, 401342, 403453, 14049, 585041, 14971]",277,197
2025-08-24,2,Zona C,V2025-08-24_C2_N2,3,103.51,"[400980, 586515, 17010]",185,155
2025-08-24,1_0,Zona B1,V2025-08-24_C1_0_N1,3,17.79,"[15431, 584558, 580791]",57,27
2025-08-25,1_0,Zona B1,V2025-08-25_C1_0_N1,6,26.17,"[587799, 402296, 584818, 581844, 585038, 588499]",99,39
2025-08-26,0_0,Zona A1,V2025-08-26_C0_0_N1,7,112.45,"[555146, 557531, 558365, 605299, 557674, 558432, 557714]",239,169
2025-08-26,1_0,Zona B1,V2025-08-26_C1_0_N1,4,12.24,"[13571, 588072, 405423, 588700]",58,18
2025-08-27,1_3,Zona B4,V2025-08-27_C1_3_N1,5,68.22,"[585842, 581261, 405701, 587531, 405228]",152,102
2025-08-28,0_1,Zona A2,V2025-08-28_C0_1_N1,8,134.26,"[575799, 588913, 401985, 584503, 604715, 581139, 406043, 10500]",281,201
2025-08-29,1_0,Zona B1,V2025-08-29_C1_0_N1,6,42.06,"[404015, 580462, 576715, 405082, 585560, 588691]",123,63
2025-08-30,0_1,Zona A2,V2025-08-30_C0_1_N1,4,133.51,"[575871, 577531, 12992, 587909]",240,200
2025-08-31,1_0,Zona B1,V2025-08-31_C1_0_N1,3,30.13,"[403720, 401053, 580318]",75,45
2025-09-01,0_0,Zona A1,V2025-09-01_C0_0_N1,8,115.97,"[557366, 585950, 555339, 581727, 558053, 558301, 557804, 584687]",254,174
2025-09-01,1_0,Zona B1,V2025-09-01_C1_0_N1,7,53.98,"[587730, 404639, 16182, 406515, 403937, 577727, 404441]",151,81
2025-09-02,1_3,Zona B4,V2025-09-02_C1_3_N1,10,89.7,"[581095, 587465, 577169, 581912, 582004, 583179, 581985, 586729, 405597, 402898]",235,135
2025-09-02,0_1,Zona A2,V2025-09-02_C0_1_N1,4,123.24,"[587132, 405945, 580938, 401370]",225,185
2025-09-03,0_1,Zona A2,V2025-09-03_C0_1_N1,3,99.56,"[17728, 401714, 401894]",179,149
2025-09-03,0_3,Zona A4,V2025-09-03_C0_3_N1,8,112.11,"[585701, 587733, 558224, 576459, 557439, 557644, 557945, 586406]",248,168
2025-09-03,1_0,Zona B1,V2025-09-03_C1_0_N1,8,58.46,"[580342, 10552, 588207, 404550, 15565, 406237, 403767, 587983]",168,88
2025-09-04,0_0,Zona A1,V2025-09-04_C0_0_N1,6,100.0,"[586234, 587250, 554228, 557442, 558246, 581190]",210,150
2025-09-04,0_3,Zona A4,V2025-09-04_C0_3_N1,9,92.88,"[557537, 581297, 583169, 557923, 584410, 585672, 557332, 550920, 555528]",229,139
2025-09-05,0_0,Zona A1,V2025-09-05_C0_0_N1,4,97.08,"[553948, 576202, 557877, 557397]",186,146
2025-09-05,0_1,Zona A2,V2025-09-05_C0_1_N1,3,89.55,"[406484, 16831, 588755]",164,134
2025-09-06,0_0,Zona A1,V2025-09-06_C0_0_N1,3,91.21,"[557981, 588445, 557469]",167,137
2025-09-06,0_2,Zona A3,V2025-09-06_C0_2_N1,8,123.58,"[558267, 558234, 553074, 577808, 582057, 605480, 605203, 580355]",265,185
2025-09-06,0_2,Zona A3,V2025-09-06_C0_2_N2,3,92.99,"[603813, 587309, 585360]",169,139
2025-09-07,0_1,Zona A2,V2025-09-07_C0_1_N1,4,96.79,"[400768, 585394, 580233, 576568]",185,145
2025-09-07,1_0,Zona B1,V2025-09-07_C1_0_N1,7,29.29,"[10847, 585166, 401829, 15743, 405499, 401615, 577726]",114,44
2025-09-07,0_0,Zona A1,V2025-09-07_C0_0_N1,8,115.38,"[557744, 557411, 557531, 557812, 557468, 580265, 554071, 553130]",253,173
2025-09-08,1_0,Zona B1,V2025-09-08_C1_0_N1,6,25.73,"[584853, 587355, 580791, 587180, 584393, 588691]",99,39
2025-09-08,2,Zona C,V2025-09-08_C2_N1,10,156.72,"[578628, 582471, 582776, 603922, 582058, 586205, 405069, 404773, 14240, 576952]",335,235
2025-09-10,1_0,Zona B1,V2025-09-10_C1_0_N1,3,30.89,"[580188, 401515, 587941]",76,46
2025-09-11,1_0,Zona B1,V2025-09-11_C1_0_N1,6,57.07,"[584344, 401772, 17758, 588661, 401533, 557578]",146,86
2025-09-13,0_1,Zona A2,V2025-09-13_C0_1_N1,8,139.39,"[401949, 402766, 401240, 576691, 577222, 404593, 17814, 584169]",289,209
2025-09-13,0_1,Zona A2,V2025-09-13_C0_1_N2,3,114.99,"[585919, 580938, 582188]",202,172
2025-09-13,1_0,Zona B1,V2025-09-13_C1_0_N1,3,23.41,"[405670, 15778, 17792]",65,35
2025-09-14,1_0,Zona B1,V2025-09-14_C1_0_N1,4,31.06,"[603830, 584059, 587971, 587403]",87,47
2025-09-14,1_1,Zona B2,V2025-09-14_C1_1_N1,10,170.14,"[15269, 401911, 585079, 582562, 404272, 577895, 401092, 584887, 587267, 553714]",355,255
2025-09-15,1_1,Zona B2,V2025-09-15_C1_1_N1,4,48.66,"[582303, 576575, 15614, 580349]",113,73
2025-09-15,1_0,Zona B1,V2025-09-15_C1_0_N1,4,34.46,"[406440, 400993, 11770, 557973]",92,52
2025-09-15,1_2,Zona B3,V2025-09-15_C1_2_N1,4,42.02,"[401680, 16312, 405357, 404146]",103,63
2025-09-16,2,Zona C,V2025-09-16_C2_N1,8,128.13,"[403069, 401964, 405607, 405980, 587260, 581987, 581525, 403963]",272,192
2025-09-16,2,Zona C,V2025-09-16_C2_N2,3,96.72,"[586311, 585158, 584160]",175,145
2025-09-16,1_0,Zona B1,V2025-09-16_C1_0_N1,4,13.64,"[586240, 587705, 11617, 404870]",60,20
2025-09-17,1_0,Zona B1,V2025-09-17_C1_0_N1,8,38.06,"[584577, 406249, 405337, 405596, 404810, 604065, 406433, 576527]",137,57
2025-09-18,0_0,Zona A1,V2025-09-18_C0_0_N1,10,117.4,"[557277, 558101, 585200, 557420, 557410, 554160, 557697, 557824, 585190, 552331]",276,176
2025-09-19,0_1,Zona A2,V2025-09-19_C0_1_N1,8,130.76,"[402984, 586294, 401486, 405656, 576851, 406246, 15428, 16201]",276,196
2025-09-20,1_0,Zona B1,V2025-09-20_C1_0_N1,4,51.4,"[587084, 580350, 582645, 575771]",117,77
2025-09-21,1_0,Zona B1,V2025-09-21_C1_0_N1,5,27.06,"[405451, 400944, 404650, 588565, 587452]",91,41
2025-09-21,1_1,Zona B2,V2025-09-21_C1_1_N1,7,80.38,"[15626, 401539, 577705, 588075, 405132, 587723, 405794]",191,121
2025-09-22,0_0,Zona A1,V2025-09-22_C0_0_N1,9,108.85,"[558386, 603616, 557443, 557411, 557531, 558295, 558273, 584687, 557120]",253,163
2025-09-22,1_0,Zona B1,V2025-09-22_C1_0_N1,3,25.03,"[575510, 12693, 13802]",68,38
2025-09-23,1_0,Zona B1,V2025-09-23_C1_0_N1,6,23.44,"[17338, 405871, 582443, 406256, 404659, 580791]",95,35
2025-09-23,0_1,Zona A2,V2025-09-23_C0_1_N1,8,145.16,"[402919, 582767, 406321, 402002, 405523, 405917, 16656, 12562]",298,218
2025-09-24,1_0,Zona B1,V2025-09-24_C1_0_N1,4,26.7,"[10552, 12172, 17353, 404166]",80,40
2025-09-26,1_0,Zona B1,V2025-09-26_C1_0_N1,3,35.57,"[586529, 401074, 557954]",83,53
2025-09-27,1_0,Zona B1,V2025-09-27_C1_0_N1,4,16.0,"[400323, 401076, 400356, 584134]",64,24
2025-09-29,0_1,Zona A2,V2025-09-29_C0_1_N1,5,111.23,"[403423, 580233, 587642, 580938, 586878]",217,167
2025-09-29,1_0,Zona B1,V2025-09-29_C1_0_N1,6,56.31,"[584853, 577865, 401045, 17195, 405012, 585603]",144,84
2025-09-29,2,Zona C,V2025-09-29_C2_N1,9,136.61,"[403160, 582168, 584770, 582058, 405636, 401342, 585181, 584043, 578137]",295,205
2025-09-30,0_1,Zona A2,V2025-09-30_C0_1_N1,4,164.55,"[402685, 402851, 10953, 587909]",287,247
2025-10-01,1_1,Zona B2,V2025-10-01_C1_1_N1,9,134.3,"[587112, 400357, 587267, 403909, 401236, 404269, 553714, 581886, 587062]",291,201
2025-10-01,2,Zona C,V2025-10-01_C2_N1,5,122.61,"[405926, 586205, 405475, 604199, 401612]",234,184
2025-10-02,1_0,Zona B1,V2025-10-02_C1_0_N1,5,27.68,"[576957, 588656, 16582, 405943, 584786]",92,42
2025-10-03,1_0,Zona B1,V2025-10-03_C1_0_N1,5,27.21,"[587868, 579970, 401093, 406239, 585779]",91,41
2025-10-05,0_0,Zona A1,V2025-10-05_C0_0_N1,9,105.02,"[557417, 557117, 585950, 557518, 558187, 557819, 557061, 557368, 557610]",248,158
2025-10-06,1_0,Zona B1,V2025-10-06_C1_0_N1,5,38.8,"[579909, 403662, 578626, 587403, 577726]",108,58
2025-10-06,0_0,Zona A1,V2025-10-06_C0_0_N1,8,105.65,"[557817, 557366, 557597, 557531, 605299, 557026, 557726, 554999]",238,158
2025-10-06,0_3,Zona A4,V2025-10-06_C0_3_N1,8,120.29,"[577712, 557574, 555220, 555747, 550920, 586603, 555390, 557534]",260,180
2025-10-06,0_3,Zona A4,V2025-10-06_C0_3_N2,5,101.86,"[584373, 577781, 586283, 581308, 581287]",203,153
2025-10-07,1_0,Zona B1,V2025-10-07_C1_0_N1,5,35.07,"[14771, 586733, 401118, 586663, 587941]",103,53
2025-10-08,1_0,Zona B1,V2025-10-08_C1_0_N1,4,38.45,"[400672, 587019, 580791, 401108]",98,58
2025-10-09,1_0,Zona B1,V2025-10-09_C1_0_N1,5,22.76,"[578121, 401772, 578037, 405782, 586314]",84,34
2025-10-11,0_1,Zona A2,V2025-10-11_C0_1_N1,8,139.6,"[405964, 579979, 585934, 404980, 402008, 583047, 403590, 401370]",289,209
2025-10-11,0_1,Zona A2,V2025-10-11_C0_1_N2,4,95.11,"[585798, 587857, 580938, 581257]",183,143
2025-10-12,0_3,Zona A4,V2025-10-12_C0_3_N1,5,123.04,"[580443, 555528, 588899, 557017, 554343]",235,185
2025-10-12,1_0,Zona B1,V2025-10-12_C1_0_N1,4,39.61,"[404411, 588700, 402498, 575690]",99,59
2025-10-12,1_1,Zona B2,V2025-10-12_C1_1_N1,3,57.22,"[582743, 404927, 588597]",116,86
2025-10-13,0_0,Zona A1,V2025-10-13_C0_0_N1,8,117.86,"[557411, 557446, 555932, 554269, 554572, 558246, 554233, 557243]",257,177
2025-10-13,0_0,Zona A1,V2025-10-13_C0_0_N2,4,97.65,"[557410, 557030, 586854, 586576]",186,146
2025-10-13,1_0,Zona B1,V2025-10-13_C1_0_N1,6,21.66,"[404276, 585473, 402118, 404768, 401698, 583176]",92,32
2025-10-16,1_0,Zona B1,V2025-10-16_C1_0_N1,5,35.35,"[405547, 10552, 403252, 406477, 585821]",103,53
2025-10-16,0_3,Zona A4,V2025-10-16_C0_3_N1,4,93.34,"[557466, 557354, 583169, 580244]",180,140
2025-10-17,0_1,Zona A2,V2025-10-17_C0_1_N1,10,127.05,"[402832, 401714, 580233, 576841, 406246, 604715, 584503, 402376, 401985, 401220]",291,191
2025-10-17,1_0,Zona B1,V2025-10-17_C1_0_N1,4,32.16,"[587730, 575734, 588234, 584886]",88,48
2025-10-18,1_0,Zona B1,V2025-10-18_C1_0_N1,5,38.95,"[400498, 405596, 400986, 578565, 558205]",108,58
2025-10-19,1_0,Zona B1,V2025-10-19_C1_0_N1,4,39.08,"[401715, 580462, 588499, 585377]",99,59
2025-10-19,1_1,Zona B2,V2025-10-19_C1_1_N1,6,86.1,"[14187, 16185, 402625, 401092, 17009, 587267]",189,129
2025-10-20,1_0,Zona B1,V2025-10-20_C1_0_N1,6,42.84,"[584853, 579802, 585340, 577874, 585343, 575358]",124,64
2025-10-21,0_3,Zona A4,V2025-10-21_C0_3_N1,8,115.32,"[557940, 557105, 557627, 550920, 555528, 557460, 576459, 558391]",253,173
2025-10-21,0_3,Zona A4,V2025-10-21_C0_3_N2,5,104.46,"[585702, 585302, 584811, 604226, 582638]",207,157
2025-10-21,1_0,Zona B1,V2025-10-21_C1_0_N1,4,9.33,"[15587, 11284, 400705, 405831]",54,14
